school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
Dubai English Speaking School,UK,Outstanding,oud metha,,43084.0,53320.0,53320.0,,,,AED,Annual,41427.0,53320.0,51040.0,7999.0,8000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=202&CenterID=50,
Durham School L.L.C,UK,Acceptable,dubai investment park first,,55269.0,55269.0,76762.0,95186.0,95186.0,,AED,Annual,54000.0,95186.0,76387.0,8500.0,10500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5563&CenterID=502857,
Jumeirah English Speaking School,UK,Outstanding,al safa first,,54131.0,65098.0,65098.0,,,,AED,Annual,48331.0,65098.0,61015.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=200&CenterID=51,
Kings School Dubai L.L.C,UK,Outstanding,umm suqeim third,,47179.0,47179.0,71801.0,,,,AED,Annual,46096.0,71801.0,58808.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=273&CenterID=115,
Dubai Schools Corporation Nad AlShiba L.L.C,American,Acceptable,nadd al shiba fourth,33161.0,,,42271.0,45853.0,,,AED,Annual,29900.0,44829.0,36795.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5566&CenterID=503338,
GEMS Jumeira Primary School - Dubai Branch,UK,Outstanding,jumeira third,,44200.0,55714.0,55714.0,,,,AED,Annual,43185.0,55714.0,53652.0,7900.0,10300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=281&CenterID=64,
Bloom World Academy L.L.C,International Baccalaureate,Good,al barsha second,55000.0,,,70000.0,78000.0,85000.0,85000.0,AED,Annual,48000.0,85000.0,63438.0,5700.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5562&CenterID=502805,
Citizens School,UK,Good,al satwa,,45000.0,55000.0,65000.0,80000.0,,,AED,Annual,42150.0,75000.0,58958.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5560&CenterID=14720,
GEMS Dubai American Academy - Dubai Branch,American,Outstanding,al barsha south first,66185.0,,,93300.0,93300.0,93300.0,93300.0,AED,Annual,64665.0,93300.0,88878.0,6670.0,10600.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=262&CenterID=33,
Horizons English School L.L.C,UK,Outstanding,al wasl,,31503.0,31503.0,44121.0,,,,AED,Annual,30780.0,44121.0,40496.0,6750.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=276&CenterID=56,
