school_name,curriculum,spea_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,spea_lowest_fee,spea_highest_fee,transport_fee_min_aed,transport_fee_max_aed,transport_notes,source_url,pdf_url,notes
Al Ahliah Charity Pvt. School For Boys – BR4,Moe,Acceptable,Sharjah - Samnan,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/435,https://spea.shj.ae/media/ur0gbza5/speaschoolfees_435.pdf,No fee data extracted
Al Amaal English High School (PVT),Pakistani,Acceptable,Sharjah - Al Butainah,4557.0,,,5367.0,5367.0,7797.0,7797.0,AED,Annual,4557.0,7797.0,,,,https://spea.shj.ae/en/educational-institutions/schools/200,https://spea.shj.ae/media/icanu5hq/speaschoolfees_200.pdf,
AL Ahliah Charity Pvt. School,Moe,Good,Sharjah - Al Naseriyah,,,,5335.0,,,,AED,Annual,5335.0,5335.0,,,,https://spea.shj.ae/en/educational-institutions/schools/100,https://spea.shj.ae/media/zvtiux4y/feestructure_2025-2026_al_ahliah_charity_pvt_school_llc_sp_al_nasiriyah.pdf,
AL AHLIAH CHARITY PVT. SCHOOL - FALAJ BRANCH,Moe,Good,Sharjah - Al Falaj,,,,5269.0,5971.0,,,AED,Annual,5269.0,5971.0,,,,https://spea.shj.ae/en/educational-institutions/schools/213,https://spea.shj.ae/media/so5l402k/speaschoolfees_213.pdf,
Al Amal School For The Deaf - Branch 1,Moe,Not Reviewed,Eastern Region - Khorfakkan,30000.0,,,30790.0,30885.0,31140.0,31120.0,AED,Annual,30000.0,31140.0,,,,https://spea.shj.ae/en/educational-institutions/schools/387,https://spea.shj.ae/media/4kkdpc3u/speaschoolfees_387.pdf,
Al Ahliah Pvt. Schools LLC.,Moe,Good,Sharjah - Al Yarmouk,4685.0,,,,,,,AED,Annual,4685.0,4685.0,,,,https://spea.shj.ae/en/educational-institutions/schools/118,https://spea.shj.ae/media/mrbgds5q/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D9%8A%D8%B1%D9%85%D9%88%D9%83.pdf,
Al Ahliah Charity Pvt. School For Girls – BR3,Moe,Not Reviewed,Sharjah - Al Jazzat,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/434,https://spea.shj.ae/media/zdghisre/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%AA.pdf,No fee data extracted
Al Amal School For The Deaf,Moe,Good,Sharjah - Al Yarmouk,30000.0,,,30790.0,30885.0,31140.0,31120.0,AED,Annual,30000.0,31140.0,,,,https://spea.shj.ae/en/educational-institutions/schools/216,https://spea.shj.ae/media/0gvlflqz/speaschoolfees_216.pdf,
AL Ahliah Charity Pvt. School - Branch 2,Moe,Good,Sharjah - Al Qadisiya,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/211,https://spea.shj.ae/media/2kxn1ixs/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-2-%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B3%D9%8A%D8%A9.pdf,No fee data extracted
Al Ahliah Pvt. Schools LLC.BR1,Moe,Good,Sharjah - Al Ghubaiba,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/160,https://spea.shj.ae/media/a0nlhrtu/speaschoolfees.pdf,No fee data extracted
